model,n,rmse,mae,directional_acc,alpha,cv_rmse,dist,mean,vol,wf_refit,mse_r2_vs_sigma2,mse_absr_vs_sigma,qlike,test_rmse,test_mae,test_r2
Baseline_ZERO,706.0,0.0033257104343032,0.0025072135763661,0.0070821529745042,,,,,,,,,,,,
Baseline_NAIVE,706.0,1.0504770407115225,0.7928366366780696,0.4688385269121813,,,,,,,,,,,,
Baseline_SMA5,706.0,0.4614264900972634,0.3510502556555901,0.5113314447592068,,,,,,,,,,,,
Baseline_SMA21,706.0,0.1937757933457067,0.1524687542878141,0.4787535410764872,,,,,,,,,,,,
Baseline_SES,706.0,0.431595087597231,0.4315822810469578,0.4943342776203966,1.4901161193847656e-08,,,,,,,,,,,
Baseline_ZERO,706.0,0.0033257104343032,0.0025072135763661,0.0070821529745042,,,,,,,,,,,,
Baseline_NAIVE,706.0,1.0504770407115225,0.7928366366780696,0.4688385269121813,,,,,,,,,,,,
Baseline_SMA5,706.0,0.4614264900972634,0.3510502556555901,0.5113314447592068,,,,,,,,,,,,
Baseline_SMA21,706.0,0.1937757933457067,0.1524687542878141,0.4787535410764872,,,,,,,,,,,,
Baseline_SES,706.0,0.431595087597231,0.4315822810469578,0.4943342776203966,1.4901161193847656e-08,,,,,,,,,,,
Baseline_ZERO,706.0,0.0033257104343032,0.0025072135763661,0.0070821529745042,,,,,,,,,,,,
Baseline_NAIVE,706.0,1.0504770407115225,0.7928366366780696,0.4688385269121813,,,,,,,,,,,,
Baseline_SMA5,706.0,0.4614264900972634,0.3510502556555901,0.5113314447592068,,,,,,,,,,,,
Baseline_SMA21,706.0,0.1937757933457067,0.1524687542878141,0.4787535410764872,,,,,,,,,,,,
Baseline_SES,706.0,0.431595087597231,0.4315822810469578,0.4943342776203966,1.4901161193847656e-08,,,,,,,,,,,
Baseline_ZERO,706.0,0.0033257104343032,0.0025072135763661,0.0070821529745042,,,,,,,,,,,,
Baseline_NAIVE,706.0,0.004846036336489,0.0036952227219717,0.4688385269121813,,,,,,,,,,,,
Baseline_SMA5,706.0,0.0036351723919353,0.0027521359484062,0.5127478753541076,,,,,,,,,,,,
Baseline_SMA21,706.0,0.0034238444455677,0.0025932634387815,0.4830028328611898,,,,,,,,,,,,
Baseline_SES,706.0,0.0036136053493773,0.0027575106602511,0.4943342776203966,1.4901161193929772e-08,,,,,,,,,,,
Baseline_ZERO,706.0,0.0033257104343032,0.0025072135763661,0.0070821529745042,,,,,,,,,,,,
Baseline_NAIVE,706.0,1.0504770407115225,0.7928366366780696,0.4688385269121813,,,,,,,,,,,,
Baseline_SMA5,706.0,0.4614264900972634,0.3510502556555901,0.5113314447592068,,,,,,,,,,,,
Baseline_SMA21,706.0,0.1937757933457067,0.1524687542878141,0.4787535410764872,,,,,,,,,,,,
Baseline_SES,706.0,0.431595087597231,0.4315822810469578,0.4943342776203966,1.4901161193847656e-08,,,,,,,,,,,
Baseline_ZERO,706.0,0.0033257104343032,0.0025072135763661,0.0070821529745042,,,,,,,,,,,,
Baseline_NAIVE,706.0,0.004846036336489,0.0036952227219717,0.4688385269121813,,,,,,,,,,,,
Baseline_SMA5,706.0,0.0036351723919353,0.0027521359484062,0.5127478753541076,,,,,,,,,,,,
Baseline_SMA21,706.0,0.0034238444455677,0.0025932634387815,0.4830028328611898,,,,,,,,,,,,
Baseline_SES_unscaled,706.0,0.0036136053493773,0.0027575106602511,0.4943342776203966,1.4901161193929772e-08,,,,,,,,,,,
Baseline_ZERO,706.0,0.0033257104343032,0.0025072135763661,0.0070821529745042,,,,,,,,,,,,
Baseline_NAIVE,706.0,1.0504770407115225,0.7928366366780696,0.4688385269121813,,,,,,,,,,,,
Baseline_SMA5,706.0,0.4614264900972634,0.3510502556555901,0.5113314447592068,,,,,,,,,,,,
Baseline_SMA21,706.0,0.1937757933457067,0.1524687542878141,0.4787535410764872,,,,,,,,,,,,
