label,rmse,mae,mape_pct
Baseline_SES (Part 4),0.0033211072999935836,0.0025064902008678186,67913120.38662454
HW_SES (Part 5),0.0033211072999935836,0.0025064902008678186,67913120.38662454
ARIMA (Part 5),0.0033211368476280577,0.0025064465916474652,69623905.05921693
STACK (Part 7),0.003323563722978613,0.002506477431930717,20474407.149366986
Linear (Part 6),0.0033417832841361804,0.0025151843315849858,350436567.65335214
RF (Part 7),0.0033624502625589376,0.002528466758158494,330877593.534834
BLEND (Part 7),0.003369790052623839,0.0025322928666781427,311170535.22198737
XGB (Part 7),0.0034096206045660395,0.0025557763051674183,208030773.9628428
GBDT (Part 7),0.0034273408902480663,0.00257037481942838,354824684.333119
LGBM (Part 7),0.0035694252427971584,0.0026757006707884834,953215006.5120826
